"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Env2","m__est__Env3","m__est__Env4","m__est__Env5","m__est__Env6","m__est__Env7","m__est__Env8","m__est__mean.QTL.add","m__est__mean.QTL.dom","m__est__mean.QTL.add:mean.QTL.dom","m__se__(Intercept)","m__se__Env2","m__se__Env3","m__se__Env4","m__se__Env5","m__se__Env6","m__se__Env7","m__se__Env8","m__se__mean.QTL.add","m__se__mean.QTL.dom","m__se__mean.QTL.add:mean.QTL.dom","v__est__(Intercept)","v__est__Env2","v__est__Env3","v__est__Env4","v__est__Env5","v__est__Env6","v__est__Env7","v__est__Env8","v__est__var.QTL.add","v__est__var.QTL.dom","v__est__var.QTL.add:var.QTL.dom","v__se__(Intercept)","v__se__Env2","v__se__Env3","v__se__Env4","v__se__Env5","v__se__Env6","v__se__Env7","v__se__Env8","v__se__var.QTL.add","v__se__var.QTL.dom","v__se__var.QTL.add:var.QTL.dom"
"1","A","1","gpm27",0.01,27.3315154954906,5.01656188418605e-06,1.05987432561767,0.786768324926769,28.4035576554555,7.88641975059895e-05,71.9042537972521,6.03454981722009,-22.7486996390624,-2.96887714313276,-11.667842320622,-1.47289998037332,-12.1554673657392,-12.8510068045073,-1.62608491303982,-130.601962341876,187.881940506202,0.417550493269813,0.486982290362802,0.547354419610288,0.52323391179949,0.509336072166336,0.511478033302431,0.585439035320025,0.551367264481519,0.143371397025895,33.1739615264013,21.7768329074538,4.81897138731168,-0.394738211254869,0.0202561681398075,-0.0573183900008538,-0.133953432673024,-0.251465982661697,0.397531993160502,0.11768760581795,-0.0400358460497166,0.533927603470198,-8.77500737032303,0.0858803051833778,0.109523069423879,0.112440618847977,0.109451691997992,0.108336648160141,0.112035048027872,0.108943269815232,0.110518151979298,0.0300883125008224,6.8170062206271,4.79551198601746
"2","A","1","tub1",0.81,16.2865830740606,0.000990432216498837,2.22643897557506,0.526759509625108,18.5867545392924,0.00492156254400179,71.3377482526491,6.04873853439432,-22.5959689057894,-3.00241969771175,-11.5062563943812,-1.35598580514167,-12.021951291897,-12.7436831754919,-1.14277972444568,23247.0658676073,-11469.3102648126,0.413995400021675,0.495829537497861,0.548766553544096,0.529470680189661,0.508529398288426,0.517849531533774,0.586782374305701,0.551965450613766,0.13176979466243,15783.0585164073,7948.50310425637,4.85014898761715,-0.366814316834299,-0.0147265674277767,-0.054276559150582,-0.195709033067778,-0.254460986317816,0.363019311139568,0.074982566453832,-0.056385020699809,-416.455150618015,194.186380579325,0.0826169570117138,0.107484646490667,0.110361241788871,0.107426026698068,0.106333807022548,0.110013254784116,0.10692512580049,0.108478819863755,0.0271547522777472,3423.54157111618,1724.35916024386
"3","A","1","gpm113b",0.82,18.3030291864428,0.000380874650928841,2.05995172829265,0.560057191068586,20.526134169147,0.00223100233961805,71.7798538717983,5.93411817819083,-22.9091070899472,-3.01525070803163,-11.7012161718324,-1.52566210603976,-12.3654441903556,-12.9553701224368,-1.20178926140332,-84935.8976664755,44081.2902295161,0.417319608551852,0.48954966224518,0.553015518110122,0.52680441587589,0.510495370421005,0.515830697590642,0.588927444202614,0.550894322348485,0.132660426759525,22817.4699246072,11604.2845261048,4.8190960839091,-0.40442383367351,0.0323947225900801,-0.0553977614786221,-0.154721942261116,-0.247255776055344,0.395690743132171,0.0895702202202893,-0.0471761558774538,3327.65832200023,-1760.8833265248,0.0811821467743495,0.104126822469182,0.106859462893533,0.104031260625041,0.102972427442476,0.106513539955578,0.10355478930647,0.105059714724821,0.0266240964243306,4582.78398746715,2333.26910029042
"4","A","1","gpm705a",0.84,15.9193157445824,0.00117800333519116,2.10719595834744,0.550458344336023,18.164341022222,0.00583435844965691,71.5146087767417,5.96997235583102,-22.8556642531686,-2.97720731905266,-11.6767624199329,-1.47513520213439,-12.3366582302507,-12.9244424522732,-1.10967758019826,-1095.28897473585,944.862286470736,0.413797248471422,0.491060220030509,0.553287848202396,0.527572034287316,0.511232317829121,0.518184143549786,0.590197494728978,0.552698726608018,0.131137226393704,533.749246630332,286.756453981271,4.84063724828873,-0.409640856281675,0.018249228274717,-0.0664307272304865,-0.166610335831731,-0.247784334387498,0.38920815427251,0.0864084458906978,-0.0542053610303133,38.985854853124,-50.3406255839538,0.0800897524457649,0.104202918369932,0.106944750612725,0.10410686274666,0.103049565372299,0.106622580178647,0.103633006317997,0.105129845255874,0.0262274416922779,119.122839521158,66.2621162273753
"5","A","1","gpm325a",4.97,13.7467460087087,0.00327094924450044,3.98340161033771,0.263262043226239,18.0690522018619,0.00606192752531686,71.5359862767297,6.00289738167055,-22.712238487173,-2.98957711768966,-11.6275629300066,-1.42852843506563,-12.107700216654,-12.8308514794787,-1.06678241044458,-1455.08299007913,2360.53381658281,0.417243320836889,0.48876575577853,0.551753220230806,0.525418401606058,0.508912940941691,0.516220214778743,0.591190208769314,0.551062072313361,0.134855573513297,405.835113490168,650.945867330644,4.85753677144139,-0.401891854536732,0.0330977699624607,-0.0588463190831903,-0.161276020314474,-0.229987850614064,0.415824548598693,0.0995640771660857,-0.0761841327188924,-98.6237624061983,155.403611307688,0.0786343108754514,0.101277942803862,0.103942086114333,0.101191859945068,0.100161334373016,0.10357571575205,0.100727363388297,0.10218519158588,0.0260345447368845,81.3132831481221,130.429995949485
"6","A","1","dmt103b",6.89,11.3672213340288,0.00989720812362557,36.8015081192069,5.06851426359784e-08,45.2067140227258,4.25777954038036e-08,71.6442900121115,5.55136912567357,-22.7639841965308,-3.02789145992048,-11.9569805679641,-1.69717211622954,-12.3923950230313,-13.0678733376799,-0.745186797752913,1878.67358711813,-4495.69971685988,0.407202816942394,0.474084077761267,0.529842413912451,0.508426134184865,0.491552924382751,0.494739171960648,0.567111339506967,0.535212431196688,0.138053156762044,694.924920527436,578.198756910243,4.90632940896299,-0.363716391544676,0.00577567052447514,-0.0282597243680208,-0.151292325365329,-0.240508724083761,0.401568876313063,0.125175157418959,-0.122415512801724,-2208.20691336341,1202.5790871731,0.0780521128984048,0.1007446436449,0.103434228033233,0.100694437013392,0.0996645758079993,0.103070017729091,0.100219636854643,0.101677952669991,0.0263955336984541,221.081376317717,141.577492558435
"7","A","1","gpm699d",8.67,18.8237140468146,0.000297329984529116,4.20475023658699,0.240186726603457,22.9980256899666,0.000797140127075802,71.1862802872773,5.89199279255678,-22.4445279036603,-3.07464858694661,-11.5360201310548,-1.37312381692123,-11.7629567034193,-12.5896288242271,-1.12721891768969,302.769635164346,813.532580082679,0.42148245705072,0.492901443183762,0.544580051407462,0.524516222608537,0.505014403274474,0.513044622055629,0.580558572962789,0.548644259380752,0.141212056125141,144.870162509452,116.411206861251,4.8827507611217,-0.35273396836165,-0.00634287189458802,-0.0540754374800006,-0.187425420772675,-0.247618333537438,0.357963840394485,0.0881078405001781,-0.0821037435862314,-32.0407022415336,-77.3721999418751,0.0808498082000385,0.103148702051148,0.105910331301793,0.103098194570543,0.102043197637101,0.105526427071176,0.102613823399321,0.104104203895638,0.0276446520345647,28.8336036609944,27.8738616821622
"8","A","1","gpm319",14.82,30.4805584318223,1.09342150288598e-06,8.17522525416533,0.0425257923269096,37.2946582268389,1.54265395770268e-06,71.8935989630464,6.0300474215711,-22.5781613917743,-3.03755619227078,-11.3981146396792,-1.36311296122652,-11.9239263795117,-12.683458909564,-1.41798279583901,-185.785946808037,165.754011696943,0.417295915107409,0.491180154313392,0.547444148495512,0.525582891010993,0.505432492726414,0.513377785871394,0.582814913087989,0.550276100511392,0.135812398476809,22.35689808239,20.3003248738278,4.87090655493947,-0.367837471277795,0.0103833153429135,-0.0445026951005601,-0.181581715890864,-0.243051493514606,0.371341816448399,0.0989055524786085,-0.0961657086700503,8.48840777222786,-7.66577916769303,0.0854972872990351,0.109968094044465,0.112905797521842,0.109904635661336,0.108814005664611,0.112519941220215,0.109395167315918,0.111013320292657,0.0285896049956747,5.47871983964737,4.98658417356581
"9","A","1","IDP1447",19.92,4.48048435379496,0.214037658082467,29.7652314049928,1.54623144971437e-06,30.8960090137955,2.65347909089979e-05,70.4988048364009,5.50804597709372,-22.6980280521775,-3.22126266753797,-11.8167046371952,-1.58147778150422,-12.2316545640506,-13.0790973859533,0.11032297981453,422.520996508852,-1095.14818987762,0.402130678497681,0.478132913658817,0.531715895621592,0.51392977319886,0.492206221317625,0.502846288670445,0.571313467828214,0.537404846652613,0.133218702255483,89.5861833888369,235.009425368483,4.92046059058494,-0.37291226198968,-0.0180948515327932,-0.0336547064763517,-0.191325201630726,-0.220504333566538,0.380466068547894,0.0761534998454345,-0.119868331929222,266.438131349921,-706.176595127537,0.0807801993242888,0.106084539391869,0.108926074273574,0.106016082789899,0.104941619688346,0.108533161058875,0.105536221814531,0.107081207723284,0.0269170110216595,37.2699944325194,97.7597313097281
"10","A","1","bnl5.62a",21.12,1.07877700526973,0.782199710603683,9.31288572742183,0.0254075618863509,10.5437195272008,0.103544169567315,70.4221787800795,6.09801028131114,-22.4356382455138,-3.09399037759347,-11.4165389019221,-1.35640841622721,-11.8799815100613,-12.6514048920136,-0.150743288399708,-68860.9848014919,132547.506327445,0.418573871475481,0.493348869777844,0.546351158808633,0.530620959634567,0.507053393264863,0.51715394616947,0.584894461821815,0.551365209898678,0.139815485995236,31309.0634989089,28187.7581309458,4.89351801654017,-0.366015414378765,-0.00964259040040552,-0.016892876398153,-0.179992609967028,-0.224900132268575,0.370084596163757,0.0884485152510615,-0.115867505362079,1375.3343379209,-12050.3313329461,0.0819680969228548,0.105654095102327,0.108467505673925,0.105585081800324,0.104516862451934,0.108082818424034,0.105096123184156,0.106635816846767,0.0282730258765768,5949.46778815817,6416.32713272256
