"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Low.Water","m__est__Low.Nitrogen","m__est__Pathogen","m__est__mean.QTL.add","m__est__Low.Water:mean.QTL.add","m__est__Low.Nitrogen:mean.QTL.add","m__est__Pathogen:mean.QTL.add","m__se__(Intercept)","m__se__Low.Water","m__se__Low.Nitrogen","m__se__Pathogen","m__se__mean.QTL.add","m__se__Low.Water:mean.QTL.add","m__se__Low.Nitrogen:mean.QTL.add","m__se__Pathogen:mean.QTL.add","v__est__(Intercept)","v__est__Low.Water","v__est__Low.Nitrogen","v__est__Pathogen","v__est__var.QTL.add","v__est__Low.Water:var.QTL.add","v__est__Low.Nitrogen:var.QTL.add","v__est__Pathogen:var.QTL.add","v__se__(Intercept)","v__se__Low.Water","v__se__Low.Nitrogen","v__se__Pathogen","v__se__var.QTL.add","v__se__Low.Water:var.QTL.add","v__se__Low.Nitrogen:var.QTL.add","v__se__Pathogen:var.QTL.add"
"1","A","1","chr1_loc-5",233.65,3.8176720827298,0.43124322281036,1.27058676864525,0.866345788602425,6.85457335048653,0.552401475232528,62.8195505159274,4.77592976910158,-20.1604872741308,1.88218589491477,3.64895347821042,-0.0593258654414868,2.56672340575295,-1.87035764769949,1.43785708623228,1.31018776030321,1.36279219347936,1.31141467010872,0.776388711512571,0.711118820069749,0.737845210857988,0.711244348426835,5.1668969827458,-0.255395315484594,-0.756472033678375,0.235928128987261,-0.227314057965831,-0.0499176655348029,0.567883707038894,-0.0287471543009038,0.252312780435524,0.253606184055342,0.253621525328987,0.253261725977701,0.136793358508723,0.137366061421502,0.137366831563244,0.13718955086404
"2","A","1","IDP3914",238.65,3.81767208272664,0.431243222810807,1.27058676863893,0.866345788603488,6.85457335047705,0.552401475233561,63.1667943503756,4.77028416657259,-19.9162312476491,1.70419783196148,3.30170964375806,-0.0536802629106036,2.3224673792733,-1.69236958474724,1.36537553925866,1.24406839083365,1.29404664373502,1.24524210164717,0.702505557117213,0.643446917068634,0.667629955502832,0.643560499823184,5.14526519007228,-0.260145609422416,-0.702430753860796,0.233192475560407,-0.20568226529271,-0.0451673715969346,0.513842427221529,-0.02601150087379,0.239580249758513,0.240810329109626,0.240824900095187,0.240482917726035,0.123775749317455,0.124293952342374,0.124294649195435,0.124134238985306
"3","A","1","chr1_loc5",243.65,3.81767208272664,0.431243222810807,1.27058676864525,0.866345788602425,6.85457335047705,0.552401475233561,62.8195505159245,4.77592976910081,-20.1604872741287,1.88218589491403,3.64895347821069,-0.0593258654416794,2.56672340575266,-1.87035764769911,1.4378570862322,1.31018776030301,1.36279219347932,1.31141467010861,0.776388711512616,0.711118820069713,0.737845210858008,0.711244348426826,5.16689698274578,-0.255395315484607,-0.756472033678379,0.235928128987337,-0.227314057965819,-0.049917665534796,0.567883707038899,-0.028747154300943,0.252312780435525,0.253606184055344,0.253621525328988,0.253261725977703,0.136793358508724,0.137366061421503,0.137366831563245,0.137189550864041
"4","A","4","chr4_loc-5",3130.98,14.1261033386444,0.00690327345962722,9.39651416849333,0.051917636433596,23.3452047416167,0.00294819464462352,66.717648474484,4.15233795483589,-16.3633186891442,-1.76088032145032,2.51675996410446,0.607596157612541,0.775826723569851,-0.052977514502984,0.4448330027336,0.430448300260932,0.419341026490652,0.419556797106429,0.30309702875459,0.300425865910239,0.296550697461789,0.295743143495096,5.00263644562962,-0.43615116342611,0.0371723416167935,-0.0470134275462486,-0.265268942338754,0.0557371745991119,0.21159926906657,0.212737214339162,0.0875449741204833,0.0876303884864074,0.0875997124900699,0.0876331698938532,0.0630092303985683,0.0623529994746278,0.062307306805134,0.0623608737544058
"5","A","4","IDP2349",3135.98,14.1261033386475,0.00690327345961766,9.39651416849649,0.0519176364335284,23.3452047416167,0.00294819464462352,66.9571498508522,4.21015837398523,-16.2894890149728,-1.76592179851651,2.27725858773657,0.549775738462702,0.701997049398044,-0.0479360374368483,0.42195560551933,0.408250341413516,0.397687706443804,0.397897300679885,0.274253532912684,0.271836564821427,0.268330167408101,0.267599462361948,4.97739276816182,-0.430847069979936,0.0573086744028591,-0.0267688049499124,-0.240025264870999,0.0504330811529216,0.191462936280531,0.192492591742838,0.083013945435202,0.0831013211330999,0.0830724008221926,0.0831040321765911,0.0570131093462796,0.0564193270514204,0.056377982614333,0.0564264519944039
"6","A","4","chr4_loc5",3140.98,14.1261033386475,0.00690327345961766,9.39651416849333,0.051917636433596,23.3452047416167,0.00294819464462352,66.7176484744831,4.15233795483549,-16.3633186891452,-1.76088032145025,2.51675996410433,0.607596157612598,0.775826723569913,-0.05297751450298,0.444833002733593,0.430448300260912,0.419341026490667,0.419556797106436,0.303097028754591,0.300425865910241,0.296550697461789,0.295743143495107,5.00263644562961,-0.436151163426114,0.0371723416167927,-0.0470134275462488,-0.265268942338744,0.0557371745991098,0.211599269066568,0.212737214339157,0.0875449741204773,0.0876303884864014,0.087599712490064,0.0876331698938471,0.0630092303985639,0.0623529994746235,0.0623073068051299,0.0623608737544015
"7","A","7","lim333",4950.64,34.8244844354862,5.04737958477826e-07,2.41889613485582,0.659215144669242,36.757397099829,1.27534954028397e-05,64.499174180149,5.44070049159717,-14.822881395909,-0.897289209895518,4.00835521029698,-0.536028992115799,-0.527380079128127,-0.629591363146142,0.46671363540696,0.449622672485341,0.434791919834939,0.436989752009813,0.30748123036076,0.305521287592738,0.301952254430888,0.300332549944528,4.85253691654564,-0.484419887660214,-0.000657751201636631,0.114463079473522,-0.141396584723479,0.118596390099487,0.25358733296947,0.0629327233230428,0.0961871926254462,0.0947610044292777,0.0946241374500355,0.0947458647999852,0.0641374338964316,0.0634575835275029,0.0633843114600086,0.063453803486331
"8","A","7","IDP574",5057.59,24.2237310412177,7.20357571295434e-05,1.3675809556188,0.849809570687041,25.6153980298568,0.00122181371743268,66.0245392692599,5.11296384841651,-16.158538147028,-1.00673223410561,2.98697379986658,-0.317236387044118,0.678023986853899,-0.506803456155159,0.407445504528141,0.394358913076506,0.39110072424217,0.391301809729447,0.275546380679794,0.272978536121927,0.272539545292356,0.269428449098685,4.82277997146476,-0.225364858212106,-0.0866691450288287,0.0666572728855071,-0.0929753958000366,-0.104732362057483,0.306663744746122,0.0804947875362493,0.0862268084354161,0.085463305656995,0.0854064228728297,0.0854675394175841,0.0588696293432875,0.0581512447316652,0.0580939867521749,0.0581524627867151
"9","A","7","gpm662b",5057.74,23.4483030136522,0.000103013591117709,1.24089735560878,0.871320322826512,24.5834406617655,0.00182827847833494,66.2576951361352,5.07238834084808,-16.1380534579776,-1.03666032003912,2.85173725238995,-0.290433051311146,0.676612892114743,-0.487435983930475,0.394563671582023,0.382422896438363,0.379356410737614,0.379628920551408,0.267389145203668,0.265022522229033,0.264488934998576,0.26159206276739,4.81445524377149,-0.226712985544246,-0.0618279163537222,0.0720174212174301,-0.0859903825134418,-0.106056377015397,0.290868764070649,0.077931548551678,0.0787672741347747,0.0780869873374982,0.078035541790198,0.0780918030744178,0.0538556908377971,0.0532066717315406,0.0531543127916142,0.053208391995024
"10","A","7","gpm296c",5057.95,25.0498122373033,4.91628040682246e-05,1.40531925945491,0.843269978442744,26.2207699052853,0.000962713201342354,66.3578083428856,4.76937667698481,-15.434433316071,-1.21220870390132,2.98464165658582,-0.0441586445362804,0.0400112809883387,-0.488045545759266,0.385561585571896,0.374336339287607,0.37006694787395,0.370592414792759,0.269818016496136,0.268750751237214,0.268470242053339,0.264848098168091,4.81244343604369,-0.261528857323703,-0.00770814975640509,0.0512862328578295,-0.09228511092719,-0.094038442063305,0.285663700799731,0.100669781492186,0.0782239343647299,0.0775091209499116,0.0774484718401826,0.0775076360165856,0.0552423884548168,0.0545639863620637,0.0545088570515155,0.0545646982905782
