"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Low.Water1","m__est__Low.Nitrogen1","m__est__Pathogen1","m__est__mean.QTL.add","m__est__Low.Water1:mean.QTL.add","m__est__Low.Nitrogen1:mean.QTL.add","m__est__Pathogen1:mean.QTL.add","m__se__(Intercept)","m__se__Low.Water1","m__se__Low.Nitrogen1","m__se__Pathogen1","m__se__mean.QTL.add","m__se__Low.Water1:mean.QTL.add","m__se__Low.Nitrogen1:mean.QTL.add","m__se__Pathogen1:mean.QTL.add","v__est__(Intercept)","v__est__Low.Water1","v__est__Low.Nitrogen1","v__est__Pathogen1","v__est__var.QTL.add","v__est__Low.Water1:var.QTL.add","v__est__Low.Nitrogen1:var.QTL.add","v__est__Pathogen1:var.QTL.add","v__se__(Intercept)","v__se__Low.Water1","v__se__Low.Nitrogen1","v__se__Pathogen1","v__se__var.QTL.add","v__se__Low.Water1:var.QTL.add","v__se__Low.Nitrogen1:var.QTL.add","v__se__Pathogen1:var.QTL.add"
"1","A","1","gpm27",0.01,0,1,0,1,0,1,71.017660304481,5.06398736066549,-16.5055200247574,-2.0028761696414,-1.53946328423463,-0.333859942229846,1.02225530916461,0.317308787929495,0.403819260510631,0.405038902764025,0.399438990768661,0.395247329950989,0.276379348454133,0.277525002032402,0.274832930296498,0.273103634439771,4.79331307561642,-0.472092429277573,0.412127225915947,0.208842151809221,-0.038771909714331,0.120930624547386,-0.104365214910423,-0.0416213238044047,0.08150235038368,0.0800760302137761,0.079953688794055,0.080069246332664,0.0569802852618818,0.0562521924468725,0.0561889690899491,0.0562479858676294
"2","A","1","tub1",0.81,0,1,0,1,0,1,70.9136431168464,5.24534963887725,-16.7953247245735,-2.0095020015532,-1.39980174944283,-0.502965015830457,1.28115726590626,0.295713249184148,0.408079506808795,0.409350642401307,0.403182506925492,0.399841402669314,0.273964650207413,0.275136184730308,0.272331567623578,0.270775888075198,4.80262482098418,-0.4640602024295,0.391977867922707,0.218908395465421,-0.0473261503099057,0.109193411413907,-0.0803231347791555,-0.0478796212317236,0.0783433156000663,0.0769730384363251,0.0768538909963392,0.0769652719894737,0.0538805176760799,0.053170062963183,0.0531097420300092,0.0531658027253598
"3","A","1","gpm113b",0.82,0,1,0,1,0,1,70.9121006184905,5.24794919211365,-16.7993583504826,-2.009330134828,-1.39792271830307,-0.505326164994508,1.28470562596714,0.295228511268689,0.408099622724458,0.409368483179437,0.403195624185925,0.399868503192362,0.273899023214106,0.275071259704107,0.272268133206494,0.270716395798024,4.80273863080802,-0.463897472533386,0.391649050014897,0.219004808363092,-0.0474439474779175,0.108995467335316,-0.0799521029643247,-0.0479209706559297,0.0783787086897349,0.0770078104613466,0.0768886075104685,0.0770000406586589,0.0538917486169311,0.0531811923856022,0.0531208932964449,0.0531769283462949
"4","A","1","gpm705a",0.84,0,1,0,1,0,1,70.9705379112748,5.23410127330985,-16.8965831925335,-2.00287108882725,-1.46475978069833,-0.495225251831497,1.39142262744361,0.289487534338542,0.407464518334377,0.408534923455381,0.401889355088937,0.398969504855922,0.27498204062408,0.276059558571725,0.273202985739112,0.271629132713999,4.8055630843959,-0.468772883657794,0.384683915103652,0.221777792053322,-0.0522882451416201,0.115352002318446,-0.0718935839398722,-0.0516125819589931,0.0808387312856278,0.0794445373386999,0.0793194831468725,0.0794362876814509,0.0559511324171958,0.0551832519640168,0.055123166232891,0.0551796141518279
"5","A","1","gpm325a",4.97,0,1,0,1,0,1,71.2053207107258,5.31247457672992,-17.3268946483337,-2.20795013819223,-1.67174160145595,-0.55120936618642,1.77886620134655,0.47389459807182,0.412290807549189,0.412987502825849,0.404701469926371,0.403697914129441,0.273961746127485,0.275619619085236,0.272587267347482,0.271398314926596,4.84140393342296,-0.477329325781873,0.346209120267843,0.216013513051973,-0.0935696232619456,0.122235194457226,-0.0280412490503422,-0.0423670887675778,0.0830467239105592,0.0819662001932168,0.0818220905660873,0.0819573847027347,0.0572642761136827,0.0565907271988373,0.0565240756584282,0.0565859553240252
"6","A","1","dmt103b",6.89,0,1,0,1,0,1,71.2517723785102,5.34714058944793,-17.3808392743112,-2.20537120283479,-1.70913122872098,-0.587329627856408,1.82768713118619,0.464792092423094,0.413866496464647,0.414181431087099,0.405557714194199,0.404694195974501,0.274684537449123,0.276178272455725,0.273012510065192,0.271861180204967,4.84435245359329,-0.479209671849762,0.345755675953779,0.216322489036274,-0.0981850999667072,0.122725930738598,-0.0251522508790949,-0.0424330547607822,0.0861917934143276,0.0849814473593953,0.0848244487301306,0.0849739626364008,0.0594568174861788,0.0587068594514374,0.0586338635276683,0.0587028353645455
"7","A","1","gpm699d",8.67,0,1,0,1,0,1,71.2786198442488,5.31420391374768,-17.3471934578951,-2.19892113098029,-1.73965321439224,-0.559239928770893,1.80167758838486,0.461359084503408,0.413859226075129,0.414221020976194,0.405645799272451,0.404650042067969,0.275787543880455,0.27735577032749,0.274189969864936,0.272991061219402,4.84314510300432,-0.480796828884683,0.348838529532554,0.215406105447575,-0.0972111136387828,0.124685961302196,-0.0281398325547724,-0.0422351931360128,0.0848567011550087,0.0836714403490337,0.0835160986129702,0.083664027598415,0.0587452975446514,0.0580199112458,0.057947623315363,0.0580157945838771
"8","A","1","gpm319",14.82,0,1,0,1,0,1,71.6254161530002,5.22127909798184,-17.7198952184423,-1.88443411356431,-1.94356933887174,-0.451533424919793,2.02314586719855,0.168355326011743,0.432792239853978,0.435040460076351,0.42810550118659,0.425637711049139,0.279586702678091,0.281665977717868,0.278884727259435,0.277023698536928,4.86081377530641,-0.457482883795213,0.368727150778353,0.190618402375592,-0.121072542597257,0.101869121272088,-0.0370305940853077,-0.014674131608915,0.0841448262498388,0.0832508293146012,0.0831806701649768,0.0832547062537916,0.056873216572655,0.0562056011812548,0.0561628558652445,0.056206181186233
"9","A","1","IDP1447",19.92,0,1,0,1,0,1,69.9501470392662,4.92488067269335,-16.8316733544941,-1.76055152981054,-0.545352092119057,-0.201926180039054,1.42110172179687,0.129180067559852,0.406515369127769,0.40464102189708,0.397071870048036,0.396591643042892,0.272872666003839,0.274430249233687,0.271845108463334,0.270990195193073,4.93349756091774,-0.408273647381429,0.267212547861936,0.166131707020462,-0.192499291668073,0.076221258666569,0.0230203452314946,0.015639240963871,0.0746761912136558,0.0736572407597252,0.0735913821057514,0.073658633224458,0.0543105519310652,0.0536640631212088,0.0536070672838328,0.053659957940995
"10","A","1","bnl5.62a",21.12,0,1,0,1,0,1,69.955105277502,4.89487293983778,-16.7827964315747,-1.76844007895438,-0.552131740333491,-0.172700817631998,1.3783989878048,0.135402950706968,0.404274496546482,0.402228926804176,0.394532903235933,0.394006917187853,0.2717142795839,0.273141680003612,0.270514484141852,0.269660722725085,4.93065669998287,-0.412009030416604,0.269945912746089,0.167230726729575,-0.189466339586489,0.0805077873366411,0.0197419960522345,0.0139736863440665,0.0740508646021225,0.0729949572146562,0.072931240187395,0.0729967392149136,0.0538839532493494,0.053213479942222,0.0531579954083362,0.0532099327462879
